Month,Type,Rank,Ticker,Return (%)
Nov 2023,Gainer,1,TRENT,29.35
Nov 2023,Gainer,2,BPCL,24.75
Nov 2023,Gainer,3,HEROMOTOCO,23.66
Nov 2023,Gainer,4,EICHERMOT,18.25
Nov 2023,Gainer,5,APOLLOHOSP,14.71
Nov 2023,Loser,1,BAJFINANCE,-4.95
Nov 2023,Loser,2,SBIN,-0.14
Nov 2023,Loser,3,NESTLEIND,0.01
Nov 2023,Loser,4,KOTAKBANK,0.92
Nov 2023,Loser,5,CIPLA,1.02
Dec 2023,Gainer,1,BEL,26.25
Dec 2023,Gainer,2,ADANIPORTS,24.09
Dec 2023,Gainer,3,ADANIENT,20.79
Dec 2023,Gainer,4,HINDALCO,19.24
Dec 2023,Gainer,5,NTPC,19.08
Dec 2023,Loser,1,HDFCLIFE,-6.38
Dec 2023,Loser,2,MARUTI,-2.89
Dec 2023,Loser,3,SBILIFE,-0.18
Dec 2023,Loser,4,DRREDDY,0.17
Dec 2023,Loser,5,BAJAJFINSV,0.73
Jan 2024,Gainer,1,ONGC,23.02
Jan 2024,Gainer,2,SHRIRAMFIN,20.14
Jan 2024,Gainer,3,ADANIPORTS,17.89
Jan 2024,Gainer,4,BHARTIARTL,13.42
Jan 2024,Gainer,5,TATAMOTORS,13.37
Jan 2024,Loser,1,HDFCBANK,-14.43
Jan 2024,Loser,2,ASIANPAINT,-13.07
Jan 2024,Loser,3,HDFCLIFE,-10.84
Jan 2024,Loser,4,EICHERMOT,-7.33
Jan 2024,Loser,5,JSWSTEEL,-7.0
Feb 2024,Gainer,1,TRENT,25.75
Feb 2024,Gainer,2,BPCL,20.2
Feb 2024,Gainer,3,M&M,17.01
Feb 2024,Gainer,4,SBIN,16.8
Feb 2024,Gainer,5,SUNPHARMA,11.24
Feb 2024,Loser,1,HINDALCO,-13.03
Feb 2024,Loser,2,ITC,-7.98
Feb 2024,Loser,3,KOTAKBANK,-7.44
Feb 2024,Loser,4,BAJFINANCE,-5.36
