,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJAUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
ADANIENT,1.0,0.8737171919227782,0.13652938957997215,0.2910914174009038,0.2977630434311579,0.20136292312605344,0.35657043445251285,0.33584738099599803,0.5212137744451365,0.2818536914098621,0.454582906432079,0.13071574927950286,0.09434323053746937,0.4941653881187685,0.1646122115917775,0.3311947755287462,0.3441463861177324,0.1398297132052793,0.33808618801858487,0.2168839777789345,0.20831693706158083,0.3048462687565705,-0.0007854370811538054,0.39404926293070747,0.3908397615039149,0.11522402179649646,0.24584145521358144,0.40548948229268716,0.24377937108456235,0.4830533742680348,0.30361383315409407,0.31568685943769176,0.11503976917530767,0.5452298970719522,0.48469548452876016,0.4030962887348569,0.4870792808909202,0.28920154534973797,0.5442660859413946,0.4099552463925555,0.1658673966638228,0.20389509541461223,0.32398609939325435,0.42355804337232233,0.11587725139360684,0.14168248300128428,0.28331056054381437,0.1892930203131257,0.3607686727343153,0.22390723726407688
ADANIPORTS,0.8737171919227782,1.0,0.1708037530607487,0.27180194625510273,0.38094517065427336,0.2071633853655772,0.39808573146562426,0.39748942136401266,0.586471719532993,0.318674027810593,0.4962647148557342,0.13402857663188378,0.09258461353969442,0.5470517400705996,0.16180910997038572,0.27145386977533315,0.3575203450608235,0.15518923309316204,0.37608478640136433,0.2475845637717398,0.2047718956652792,0.33896571170604656,0.0024631983613530102,0.44357600688635807,0.4201522149635046,0.15119896281123688,0.27430424659300456,0.4355485503938797,0.3059268300879872,0.5145179328702629,0.32144113544215186,0.30273623938619154,0.08800397527828059,0.6112634578061815,0.5225631680151035,0.5128254841382607,0.5130523695115415,0.28539832586827923,0.5803023640142244,0.4709618959439903,0.21857207656079158,0.22126421161808701,0.34029722022289877,0.4664199838424312,0.1338158214560726,0.15009502633339175,0.29633847075797076,0.20441534907069517,0.4038243679892525,0.24062428928744636
APOLLOHOSP,0.13652938957997215,0.1708037530607487,1.0,0.254748283257161,0.18023339118127008,0.22813812337600384,0.24950618170124425,0.22141219101888596,0.22834045031359818,0.2411417549400751,0.17817937366947809,0.23241765230722325,0.23291755167512518,0.24568021259695555,0.2364712113166883,0.2931349943427169,0.2607111315326166,0.28249168174860284,0.1118685971974934,0.14253322567572033,0.25146301766437545,0.06508632362037137,0.10781153030283737,0.16746782750461298,0.12644729149024078,0.12444901311981584,0.1748973755227446,0.2778153939060918,0.14005236351797784,0.23711068878586672,0.2550120434939011,0.1947012171898599,0.2243972965577692,0.19698744476627764,0.17557586117027635,0.18211370220927722,0.23550420744474773,0.16202941272812746,0.18517681684182744,0.29397137059636147,0.29018522537201596,0.09774375350275707,0.214188626955992,0.2554936838949007,0.10895560388368036,0.17215333600169108,0.25356193224685697,0.09643543286581772,0.27551317239472856,0.2262611065575552
ASIANPAINT,0.2910914174009038,0.27180194625510273,0.254748283257161,1.0,0.12499795461319593,0.1624178821664912,0.24741365163980025,0.29753381957807584,0.1525241705545628,0.14154361083768835,0.212157703158042,0.42554736069179316,0.14494109432286867,0.19240974048761206,0.14862451144498634,0.25408433778519157,0.3409578510887381,0.11345805734774587,0.2625079125794577,0.20492289479754985,0.17612667251837563,0.20976486528236218,0.26952150879066794,0.15548581702699293,0.18232493730214022,0.10166362870334603,0.2743246320241883,0.33106777057477366,0.18063614196319597,0.22146969727693455,0.13517963565084548,0.2593141615248106,0.2820889341967163,0.21875752487544955,0.12664111810131634,0.10781603257996912,0.2936749505235895,0.21878751535401247,0.1054703230431142,0.1996975785636222,0.19658365633614117,0.24305217351615985,0.1038646097462785,0.2857477864599547,0.1645965750221716,0.15972000586080065,0.3065881828239814,0.2148978295674489,0.27720069089023625,0.13782979125927566
AXISBANK,0.2977630434311579,0.38094517065427336,0.18023339118127008,0.12499795461319593,1.0,0.19948004584281664,0.39377655192749583,0.35347090187156516,0.33099194792667497,0.23939226735650682,0.2237527263443973,0.1311149892880892,0.08600329852452226,0.3330824992196238,0.09193623461840011,0.286827041296357,0.36754265298808136,0.10875814030503156,0.42527757449425135,0.25177384130862107,0.17359738533933325,0.22802774169958434,0.009887203477359604,0.6366436593912757,0.33848616912216595,0.08742362405920173,0.2752999665408089,0.3664256149992704,0.29214264209657237,0.3524573673316761,0.23638302638315412,0.26062739770311105,0.10044089545906547,0.3952436296704105,0.3139511002662158,0.29532904555390427,0.42370361684956653,0.18352055135541198,0.5163970053127691,0.44892237331426926,0.14528360729097708,0.14011537813130479,0.2327317432564653,0.37123265927897675,0.09539895325911567,0.1374467934586856,0.1461191953015374,0.2006395270434336,0.3974508281548174,0.20857072154807896
BAJAJAUTO,0.20136292312605344,0.2071633853655772,0.22813812337600384,0.1624178821664912,0.19948004584281664,1.0,0.23744742659209825,0.17555525139795872,0.2396134484489515,0.2692808609568519,0.22044998793839718,0.096095286299132,0.04723163488252667,0.2291354922983769,0.10684270219360238,0.2807177726626808,0.2049871739885796,0.13122937124483927,0.18437496900883416,0.19283517175584788,0.4110517976324255,0.2200769974467752,0.12458958610893145,0.11401985804332165,0.20108224807080727,0.0017343639129347092,0.14168092624776943,0.22629087976959109,0.0830665402777082,0.17772165639156143,0.27824719130076736,0.3420056986220949,0.17872877221832165,0.20707657282889105,0.19071722691697499,0.17449552365225793,0.2477810426516402,0.19198377662443045,0.15864635122706763,0.30443742045355837,0.1581932658986429,0.18625532249909557,0.2969792393934352,0.2843735226362142,0.02140870918257043,0.04363318075346171,0.2011828514740647,0.23329970100081235,0.26743212330641564,0.1072016693059645
BAJAJFINSV,0.35657043445251285,0.39808573146562426,0.24950618170124425,0.24741365163980025,0.39377655192749583,0.23744742659209825,1.0,0.7483002872286039,0.3458197166431509,0.25728201066635936,0.34513843305311065,0.2256073048581107,0.1361950178375732,0.2798557531243741,0.2579029056987742,0.24143421561764122,0.4348952632043598,0.2677171756153733,0.3188307448220598,0.3474529580164099,0.2362386315285722,0.29634929156444995,0.1394687996987161,0.4151448298825265,0.42221217610322453,0.2414962079521156,0.30375160056500605,0.44750663326282025,0.27316284580970956,0.3990798546393722,0.337059655699305,0.32937432818743784,0.27378325779567453,0.3910651657111441,0.30585632359374854,0.3068403601859063,0.40729142829037507,0.4058044456336014,0.41980279611402166,0.46861096001108143,0.21310633796079514,0.30461472700604186,0.2803100981698355,0.4566478251602731,0.23502159332659606,0.20445991334431315,0.32959704899963926,0.2005744518810008,0.4628190639944197,0.3066893281495197
BAJFINANCE,0.33584738099599803,0.39748942136401266,0.22141219101888596,0.29753381957807584,0.35347090187156516,0.17555525139795872,0.7483002872286039,1.0,0.3127910526273542,0.2878334973000274,0.27048565391392687,0.20742652540070763,0.052774666986578705,0.27878162275790636,0.08769385276370219,0.1876214539094519,0.3669944577447902,0.18080973801101877,0.3306798636025277,0.3065447741652261,0.1690395536525965,0.253189520988113,0.12735253290052165,0.3477746250173575,0.406725139244104,0.19592743207621793,0.3038232820397459,0.389564637323549,0.3156277684710503,0.3780110801943511,0.26464781295900186,0.2807601444239903,0.2467826712617933,0.3262535340662574,0.31508378073458765,0.24262990055013656,0.4126890694284017,0.33426192018419043,0.39605888037204545,0.45968801484578886,0.13432823880749656,0.23579911313149352,0.21163621110859668,0.3809636029653894,0.17334760107688224,0.1716144842229768,0.2687125508808429,0.22410880220255772,0.43235084319637923,0.2368754834711625
BEL,0.5212137744451365,0.586471719532993,0.22834045031359818,0.1525241705545628,0.33099194792667497,0.2396134484489515,0.3458197166431509,0.3127910526273542,1.0,0.3151234092026912,0.5084698823736122,0.07452083656560911,0.08546368707977686,0.6214185532226022,0.13312003167774822,0.28822581920301776,0.34103197562652965,0.22922090764219183,0.3320989786403947,0.2519907189399039,0.09356398986021068,0.37802186788823877,-0.05789617342981739,0.3173893848062511,0.3038774461936188,0.1684041336716484,0.2310330015721371,0.4602978846568793,0.2662845245442227,0.5915421150697238,0.37445540382809056,0.22524910487783556,0.06557462607981969,0.6097046122200318,0.5732672291194653,0.5476731718314335,0.4924253972873434,0.2114931360384359,0.5815663425090848,0.477589070307268,0.17054887119265244,0.1769102949535135,0.3689665236483394,0.5202134042198181,0.12363397541693955,0.22639923852943375,0.16710248772806313,0.2713654365654335,0.43821742878844067,0.2592043709644269
BHARTIARTL,0.2818536914098621,0.318674027810593,0.2411417549400751,0.14154361083768835,0.23939226735650682,0.2692808609568519,0.25728201066635936,0.2878334973000274,0.3151234092026912,1.0,0.26979896981790064,0.12252100688681583,0.123381931661051,0.27027122839135925,0.179720796303947,0.29938226927266537,0.3010476271780076,0.26437073790315985,0.21307622514790428,0.21584282133635527,0.19012748523395206,0.2970076553032309,0.1579413136016775,0.37050692047419265,0.22614722270794663,0.29240567059090283,0.26116948904685366,0.3669042121051965,0.3182019514939858,0.3251327637844607,0.29868302163336,0.3479629453867465,0.10612800362560555,0.36976204360856957,0.3484187826697023,0.31650110205919063,0.36615569905900947,0.24325612567205004,0.29346291919290074,0.3638181858868524,0.2796434932617353,0.24952257898711014,0.27181889587143493,0.3058840468349767,0.19614349781541066,0.2767366251600552,0.2757240403353606,0.2580397056155346,0.35774853552633207,0.2630179981976706
